Time,Close,Difference
5/19/2021,21117,-316
5/20/2021,20484,-633
5/21/2021,21156,672
5/24/2021,21315,159
5/25/2021,21117,-198
5/26/2021,20959,-158
5/27/2021,20642,-317
5/28/2021,20721,79
5/31/2021,20445,-276
6/1/2021,20286,-159
6/2/2021,21670,1384
6/3/2021,21354,-316
6/4/2021,21038,-316
6/7/2021,21038,0
6/8/2021,21433,395
6/9/2021,21631,198
6/10/2021,21354,-277
6/11/2021,22540,1186
6/14/2021,22145,-395
6/15/2021,22184,39
6/16/2021,21789,-395
6/17/2021,21275,-514
6/18/2021,21433,158
6/21/2021,21908,475
6/22/2021,21789,-119
6/23/2021,21512,-277
6/24/2021,21473,-39
6/25/2021,21552,79
6/28/2021,21512,-40
6/29/2021,21868,356
6/30/2021,21829,-39
7/1/2021,21829,0
7/2/2021,21670,-159
7/5/2021,21354,-316
7/6/2021,20959,-395
7/7/2021,20603,-356
7/8/2021,20800,197
7/9/2021,20642,-158
7/12/2021,19693,-949
7/13/2021,20207,514
7/14/2021,20326,119
7/15/2021,20524,198
7/16/2021,20168,-356
7/19/2021,18981,-1187
7/20/2021,19377,396
7/21/2021,19772,395
7/22/2021,19930,158
7/23/2021,19377,-553
7/26/2021,19021,-356
7/27/2021,19100,79
7/28/2021,18823,-277
7/29/2021,20100,1277
7/30/2021,21500,1400
8/2/2021,22750,1250
8/3/2021,22250,-500
8/4/2021,21800,-450
8/5/2021,21650,-150
8/6/2021,21700,50
8/9/2021,21350,-350
8/10/2021,21500,150
8/11/2021,21800,300
8/12/2021,21700,-100
8/13/2021,21550,-150
8/16/2021,21500,-50
8/17/2021,21400,-100
8/18/2021,21300,-100
8/19/2021,21250,-50
8/20/2021,20850,-400
8/23/2021,20550,-300
8/24/2021,20400,-150
8/25/2021,21150,750
8/26/2021,21200,50
8/27/2021,21150,-50
8/30/2021,21500,350
8/31/2021,21100,-400
9/1/2021,20950,-150
9/6/2021,21550,600
9/7/2021,22100,550
9/8/2021,22400,300
9/9/2021,23950,1550
9/10/2021,25050,1100
9/13/2021,26800,1736.903023
